Date,Min (EUR/MWhe),Max (EUR/MWhe),Daily Spread (EUR/MWhe)
2024-12-11,96.51,423.13,326.62
2024-12-12,107.35,872.96,765.61
2024-12-13,114.95,284.21,169.26
2024-12-14,80.20,125.10,44.90
2024-12-15,0.09,90.17,90.08
2024-12-16,0.00,115.14,115.14
2024-12-17,19.75,127.33,107.58
2024-12-18,13.66,94.46,80.80
2024-12-19,0.06,147.80,147.74
2024-12-20,17.52,169.00,151.48
2024-12-21,2.70,61.92,59.22
2024-12-22,-2.00,92.30,94.30
2024-12-23,6.30,145.80,139.50
2024-12-24,78.00,120.95,42.95
2024-12-25,75.99,120.52,44.53
2024-12-26,89.64,138.05,48.41
2024-12-27,99.58,158.40,58.82
2024-12-28,102.93,150.49,47.56
2024-12-29,73.73,144.93,71.20
2024-12-30,34.90,150.00,115.10
2024-12-31,0.52,149.90,149.38
2025-01-01,0.00,101.94,101.94
2025-01-02,100.10,175.07,74.97
2025-01-03,68.96,192.70,123.74
2025-01-04,96.09,149.83,53.74
2025-01-05,20.36,94.76,74.40
2025-01-06,1.97,126.66,124.69
2025-01-07,5.01,173.86,168.85
2025-01-08,49.90,162.00,112.10
2025-01-09,80.01,152.28,72.27
2025-01-10,69.20,144.15,74.95
2025-01-11,93.15,141.93,48.78
2025-01-12,85.00,146.66,61.66
2025-01-13,89.37,218.80,129.43
2025-01-14,82.06,181.31,99.25
2025-01-15,99.93,350.48,250.55
2025-01-16,100.00,199.73,99.73
2025-01-17,105.90,208.13,102.23
2025-01-18,115.01,167.85,52.84
2025-01-19,107.51,159.19,51.68
2025-01-20,113.00,523.47,410.47
2025-01-21,103.80,282.52,178.72
2025-01-22,113.92,231.36,117.44
2025-01-23,60.09,159.35,99.26
2025-01-24,39.58,115.24,75.66
2025-01-25,66.81,147.10,80.29
2025-01-26,22.84,115.49,92.65
2025-01-27,9.10,107.67,98.57
2025-01-28,42.95,127.60,84.65
2025-01-29,59.94,165.00,105.06
2025-01-30,100.00,179.93,79.93
2025-01-31,111.06,184.48,73.42
2025-02-01,103.40,165.77,62.37
2025-02-02,111.88,173.95,62.07
2025-02-03,114.93,243.23,128.30
2025-02-04,94.84,211.99,117.15
2025-02-05,98.84,189.90,91.06
2025-02-06,99.90,216.65,116.75
2025-02-07,78.40,164.20,85.80
2025-02-08,72.50,165.36,92.86
2025-02-09,96.86,162.17,65.31
2025-02-10,63.00,181.36,118.36
2025-02-11,65.00,177.86,112.86
2025-02-12,126.59,197.64,71.05
2025-02-13,133.75,219.52,85.77
2025-02-14,125.55,275.77,150.22
2025-02-15,110.01,170.53,60.52
2025-02-16,108.21,165.01,56.80
2025-02-17,106.79,262.37,155.58
2025-02-18,90.00,193.80,103.80
2025-02-19,73.42,166.71,93.29
2025-02-20,74.03,130.70,56.67
2025-02-21,53.83,140.24,86.41
2025-02-22,39.79,153.65,113.86
2025-02-23,10.00,143.39,133.39
2025-02-24,3.93,150.71,146.78
2025-02-25,89.97,215.80,125.83
2025-02-26,80.00,168.15,88.15
2025-02-27,97.10,168.87,71.77
2025-02-28,91.50,160.45,68.95
2025-03-01,89.10,152.00,62.90
2025-03-02,-3.86,146.38,150.24
2025-03-03,-1.76,180.05,181.81
2025-03-04,-3.00,173.93,176.93
2025-03-05,-20.35,146.16,166.51
2025-03-06,-4.47,155.73,160.20
2025-03-07,6.79,195.47,188.68
2025-03-08,-3.66,150.90,154.56
2025-03-09,-12.77,134.63,147.40
2025-03-10,76.02,165.35,89.33
2025-03-11,91.88,170.88,79.00
2025-03-12,92.62,189.38,96.76
2025-03-13,95.62,173.47,77.85
2025-03-14,91.12,155.02,63.90
2025-03-15,48.00,132.96,84.96
2025-03-16,-10.01,140.00,150.01
2025-03-17,-2.00,170.00,172.00
2025-03-18,-11.68,159.73,171.41
2025-03-19,-0.64,225.81,226.45
2025-03-20,0.43,246.89,246.46
2025-03-21,-2.00,132.12,134.12
2025-03-22,-16.84,156.00,172.84
2025-03-23,5.01,140.96,135.95
2025-03-24,91.50,200.61,109.11
2025-03-25,68.29,165.40,97.11
2025-03-26,83.57,167.56,83.99
2025-03-27,4.12,167.44,163.32
2025-03-28,-2.00,158.28,160.28
2025-03-29,0.88,143.96,143.08
2025-03-30,-33.00,65.41,98.41
2025-03-31,-3.00,174.16,177.16
2025-04-01,-30.00,175.74,205.74
2025-04-02,-54.00,145.00,199.00
2025-04-03,-14.60,160.91,175.51
2025-04-04,-2.27,166.83,169.10
2025-04-05,-60.00,100.00,160.00
2025-04-06,-114.54,128.01,242.55
2025-04-07,2.19,179.14,176.95
2025-04-08,14.12,167.37,153.25
2025-04-09,-1.59,153.41,155.00
2025-04-10,0.06,149.04,148.98
2025-04-11,-8.82,147.45,156.27
2025-04-12,-63.79,134.20,197.99
2025-04-13,-25.38,112.74,138.12
2025-04-14,56.52,180.00,123.48
2025-04-15,0.00,133.17,133.17
2025-04-16,21.34,146.00,124.66
2025-04-17,77.65,130.90,53.25
2025-04-18,52.98,121.59,68.61
2025-04-19,-11.77,126.68,138.45
2025-04-20,-57.90,145.99,203.89
2025-04-21,8.36,140.00,131.64
2025-04-22,69.76,253.35,183.59
2025-04-23,81.04,150.10,69.06
2025-04-24,76.57,119.40,42.83
2025-04-25,37.75,125.99,88.24
2025-04-26,-26.20,114.88,141.08
2025-04-27,-189.90,126.00,315.90
2025-04-28,-6.81,192.44,199.25
2025-04-29,-1.90,157.86,159.76
2025-04-30,-6.21,176.43,182.64
2025-05-01,-142.42,165.08,307.50
2025-05-02,-4.00,140.35,144.35
2025-05-03,-3.04,101.64,104.68
2025-05-04,-5.01,118.20,123.21
2025-05-05,-2.00,119.00,121.00
2025-05-06,32.16,167.69,135.53
2025-05-07,56.38,151.00,94.62
2025-05-08,50.00,185.69,135.69
2025-05-09,-0.54,152.56,153.10
2025-05-10,-127.10,145.14,272.24
2025-05-11,-350.00,124.86,474.86
2025-05-12,-56.96,169.42,226.38
2025-05-13,-21.62,212.92,234.54
2025-05-14,-46.00,162.71,208.71
2025-05-15,-30.12,130.74,160.86
2025-05-16,-20.00,153.45,173.45
2025-05-17,-11.26,137.63,148.89
2025-05-18,-15.00,128.00,143.00
2025-05-19,5.00,193.35,188.35
2025-05-20,-0.52,171.83,172.35
2025-05-21,-6.04,130.00,136.04
2025-05-22,-17.50,127.25,144.75
2025-05-23,-1.05,131.50,132.55
2025-05-24,-0.16,106.42,106.58
2025-05-25,-31.80,115.00,146.80
2025-05-26,-3.00,150.00,153.00
2025-05-27,-0.19,141.14,141.33
2025-05-28,36.73,166.83,130.10
2025-05-29,-2.76,102.51,105.27
2025-05-30,-3.19,150.18,153.37
2025-05-31,-13.17,192.37,205.54
2025-06-01,-20.41,114.90,135.31
2025-06-02,11.00,239.26,228.26
2025-06-03,-10.00,123.79,133.79
2025-06-04,9.69,137.57,127.88
2025-06-05,7.60,126.20,118.60
2025-06-06,-4.20,129.29,133.49
2025-06-07,-0.61,128.00,128.61
2025-06-08,-52.99,130.13,183.12
2025-06-09,-18.45,146.69,165.14
2025-06-10,0.10,123.30,123.20
2025-06-11,-3.00,208.38,211.38
2025-06-12,-31.29,132.00,163.29
2025-06-13,-1.45,123.00,124.45
2025-06-14,-24.37,126.80,151.17
2025-06-15,-5.63,140.32,145.95
2025-06-16,0.70,190.00,189.30
2025-06-17,-2.74,237.60,240.34
2025-06-18,-1.04,175.32,176.36
2025-06-19,-9.02,146.97,155.99
2025-06-20,-0.51,194.78,195.29
2025-06-21,-27.78,165.85,193.63
2025-06-22,-18.72,131.98,150.70
2025-06-23,-32.69,127.00,159.69
2025-06-24,-2.68,124.85,127.53
2025-06-25,4.27,247.02,242.75
2025-06-26,46.73,120.19,73.46
2025-06-27,5.30,135.05,129.75
2025-06-28,-2.77,122.40,125.17
2025-06-29,-29.55,118.07,147.62
2025-06-30,-2.00,289.45,291.45
