Year,VLP Revenue (£),EBITDA (£),Tax (£),Operating CF (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive
1,133.96,73.96,18.49,55.47,100.0,-44.53,-44.53,False
2,124.11,64.11,16.03,48.09,0.0,48.09,3.55,True
3,116.75,56.75,14.19,42.56,0.0,42.56,46.12,True
4,111.54,51.54,12.88,38.65,0.0,38.65,84.77,True
5,108.31,48.31,12.08,36.24,0.0,36.24,121.0,True
6,106.19,46.19,11.55,34.64,0.0,34.64,155.65,True
7,104.13,44.13,11.03,33.1,0.0,33.1,188.75,True
8,102.12,42.12,10.53,31.59,0.0,31.59,220.34,True
9,100.16,40.16,10.04,30.12,0.0,30.12,250.46,True
10,98.22,38.22,9.56,28.67,0.0,28.67,279.12,True
11,96.33,36.33,9.08,27.25,0.0,27.25,306.37,True
12,94.4,34.4,8.6,25.8,0.0,25.8,332.17,True
