Year,VLP Revenue (£),EBITDA (£),Tax (£),Operating CF (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive
1,128.13,68.13,17.03,51.1,100.0,-48.9,-48.9,False
2,115.79,55.79,13.95,41.85,0.0,41.85,-7.06,True
3,107.82,47.82,11.96,35.87,0.0,35.87,28.81,True
4,101.79,41.79,10.45,31.34,0.0,31.34,60.15,True
5,97.49,37.49,9.37,28.12,0.0,28.12,88.27,True
6,94.41,34.41,8.6,25.81,0.0,25.81,114.08,True
7,91.51,31.51,7.88,23.64,0.0,23.64,137.71,True
8,88.78,28.78,7.19,21.58,0.0,21.58,159.3,True
9,86.18,26.18,6.55,19.64,0.0,19.64,178.94,True
10,83.71,23.71,5.93,17.78,0.0,17.78,196.72,True
11,81.35,21.35,5.34,16.01,0.0,16.01,212.73,True
12,79.72,19.72,4.93,14.79,0.0,14.79,227.52,True
