Year,Loan Yrs,VLP Revenue (£),  Spread Scale,  Degrade Scale,Staff Cost (£),Cust Mgmt (£),Total Opex (£),EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,128.13,1.0,1.0,50.0,10.0,60.0,68.13,280.0,-211.87,196.0,-407.87,0.0,-407.87,6000
2,3,115.79,0.922,0.98,50.0,10.0,60.0,55.79,280.0,-224.21,130.67,-354.87,0.0,-354.87,6000
3,3,107.82,0.876,0.96,50.0,10.0,60.0,47.82,280.0,-232.18,65.33,-297.51,0.0,-297.51,6000
4,3,101.79,0.844,0.941,50.0,10.0,60.0,41.79,280.0,-238.21,0.0,-238.21,0.0,-238.21,6000
5,3,97.49,0.825,0.922,50.0,10.0,60.0,37.49,280.0,-242.51,0.0,-242.51,0.0,-242.51,6000
6,3,94.41,0.815,0.904,50.0,10.0,60.0,34.41,280.0,-245.59,0.0,-245.59,0.0,-245.59,6000
7,3,91.51,0.806,0.886,50.0,10.0,60.0,31.51,280.0,-248.49,0.0,-248.49,0.0,-248.49,6000
8,3,88.78,0.798,0.868,50.0,10.0,60.0,28.78,280.0,-251.22,0.0,-251.22,0.0,-251.22,6000
9,3,86.18,0.791,0.851,50.0,10.0,60.0,26.18,280.0,-253.82,0.0,-253.82,0.0,-253.82,6000
10,3,83.71,0.784,0.834,50.0,10.0,60.0,23.71,280.0,-256.29,0.0,-256.29,0.0,-256.29,6000
11,3,81.35,0.777,0.817,50.0,10.0,60.0,21.35,280.0,-258.65,0.0,-258.65,0.0,-258.65,6000
12,3,79.72,0.777,0.801,50.0,10.0,60.0,19.72,280.0,-260.28,0.0,-260.28,0.0,-260.28,6000
1,5,128.13,1.0,1.0,50.0,10.0,60.0,68.13,280.0,-211.87,196.0,-407.87,0.0,-407.87,6000
2,5,115.79,0.922,0.98,50.0,10.0,60.0,55.79,280.0,-224.21,156.8,-381.01,0.0,-381.01,6000
3,5,107.82,0.876,0.96,50.0,10.0,60.0,47.82,280.0,-232.18,117.6,-349.78,0.0,-349.78,6000
4,5,101.79,0.844,0.941,50.0,10.0,60.0,41.79,280.0,-238.21,78.4,-316.61,0.0,-316.61,6000
5,5,97.49,0.825,0.922,50.0,10.0,60.0,37.49,280.0,-242.51,39.2,-281.71,0.0,-281.71,6000
6,5,94.41,0.815,0.904,50.0,10.0,60.0,34.41,280.0,-245.59,0.0,-245.59,0.0,-245.59,6000
7,5,91.51,0.806,0.886,50.0,10.0,60.0,31.51,280.0,-248.49,0.0,-248.49,0.0,-248.49,6000
8,5,88.78,0.798,0.868,50.0,10.0,60.0,28.78,280.0,-251.22,0.0,-251.22,0.0,-251.22,6000
9,5,86.18,0.791,0.851,50.0,10.0,60.0,26.18,280.0,-253.82,0.0,-253.82,0.0,-253.82,6000
