Date,Min (EUR/MWhe),Max (EUR/MWhe),Daily Spread (EUR/MWhe)
2024-12-12,114.41,808.87,694.46
2024-12-13,116.44,312.10,195.66
2024-12-14,67.86,121.57,53.71
2024-12-15,4.13,76.90,72.77
2024-12-16,0.91,91.13,90.22
2024-12-17,22.82,134.28,111.46
2024-12-18,11.18,84.79,73.61
2024-12-19,0.83,88.80,87.97
2024-12-20,12.79,110.29,97.50
2024-12-21,-0.90,39.61,40.51
2024-12-22,-2.73,59.48,62.21
2024-12-23,6.54,101.67,95.13
2024-12-24,76.23,120.65,44.42
2024-12-25,66.29,118.56,52.27
2024-12-26,85.42,133.20,47.78
2024-12-27,103.32,132.72,29.40
2024-12-28,104.13,149.22,45.09
2024-12-29,64.82,113.98,49.16
2024-12-30,46.14,114.20,68.06
2024-12-31,1.02,83.17,82.15
2025-01-01,-5.36,6.86,12.22
2025-01-02,5.23,151.92,146.69
2025-01-03,73.67,126.67,53.00
2025-01-04,89.84,152.96,63.12
2025-01-05,17.20,97.17,79.97
2025-01-06,6.47,48.83,42.36
2025-01-07,7.86,99.64,91.78
2025-01-08,51.28,153.32,102.04
2025-01-09,83.24,169.24,86.00
2025-01-10,70.50,146.25,75.75
2025-01-11,90.72,124.70,33.98
2025-01-12,88.87,144.17,55.30
2025-01-13,100.08,193.06,92.98
2025-01-14,98.00,170.65,72.65
2025-01-15,108.60,396.44,287.84
2025-01-16,114.52,207.51,92.99
2025-01-17,112.56,208.10,95.54
2025-01-18,116.39,168.66,52.27
2025-01-19,106.01,156.36,50.35
2025-01-20,118.40,418.98,300.58
2025-01-21,115.59,291.83,176.24
2025-01-22,111.16,183.15,71.99
2025-01-23,60.14,155.53,95.39
2025-01-24,43.38,122.96,79.58
2025-01-25,70.60,148.18,77.58
2025-01-26,33.40,129.17,95.77
2025-01-27,10.50,118.91,108.41
2025-01-28,55.61,147.71,92.10
2025-01-29,71.04,149.34,78.30
2025-01-30,93.32,181.58,88.26
2025-01-31,110.06,187.85,77.79
2025-02-01,103.60,167.04,63.44
2025-02-02,107.20,168.70,61.50
2025-02-03,120.72,281.62,160.90
2025-02-04,112.27,203.97,91.70
2025-02-05,109.24,189.06,79.82
2025-02-06,116.95,215.31,98.36
2025-02-07,87.26,159.03,71.77
2025-02-08,74.78,159.76,84.98
2025-02-09,98.76,158.09,59.33
2025-02-10,73.90,177.04,103.14
2025-02-11,69.57,173.18,103.61
2025-02-12,122.51,191.28,68.77
2025-02-13,135.41,219.09,83.68
2025-02-14,130.93,302.11,171.18
2025-02-15,111.75,177.85,66.10
2025-02-16,107.95,163.41,55.46
2025-02-17,113.26,272.76,159.50
2025-02-18,91.63,191.92,100.29
2025-02-19,79.83,159.50,79.67
2025-02-20,77.30,134.99,57.69
2025-02-21,53.88,145.99,92.11
2025-02-22,43.79,113.29,69.50
2025-02-23,56.91,138.14,81.23
2025-02-24,32.68,143.74,111.06
2025-02-25,89.34,229.72,140.38
2025-02-26,101.87,180.47,78.60
2025-02-27,99.17,176.49,77.32
2025-02-28,106.77,169.13,62.36
2025-03-01,96.82,154.23,57.41
2025-03-02,13.10,143.90,130.80
2025-03-03,14.79,170.74,155.95
2025-03-04,16.42,178.76,162.34
2025-03-05,-2.06,148.45,150.51
2025-03-06,4.85,162.81,157.96
2025-03-07,11.02,211.73,200.71
2025-03-08,-0.58,156.59,157.17
2025-03-09,-3.32,134.37,137.69
2025-03-10,77.45,174.82,97.37
2025-03-11,95.20,196.42,101.22
2025-03-12,97.98,199.88,101.90
2025-03-13,98.35,175.01,76.66
2025-03-14,104.08,156.01,51.93
2025-03-15,54.00,131.26,77.26
2025-03-16,7.54,134.60,127.06
2025-03-17,32.13,169.22,137.09
2025-03-18,-1.18,170.51,171.69
2025-03-19,2.71,228.22,225.51
2025-03-20,0.57,257.93,257.36
2025-03-21,-2.84,153.32,156.16
2025-03-22,-21.07,57.03,78.10
2025-03-23,5.21,145.28,140.07
2025-03-24,92.56,194.20,101.64
2025-03-25,65.75,163.01,97.26
2025-03-26,86.07,166.50,80.43
2025-03-27,13.33,173.92,160.59
2025-03-28,-0.03,163.52,163.55
2025-03-29,7.68,143.16,135.48
2025-03-30,-19.84,55.93,75.77
2025-03-31,45.63,171.07,125.44
2025-04-01,14.40,179.88,165.48
2025-04-02,-15.21,146.15,161.36
2025-04-03,-10.12,169.13,179.25
2025-04-04,-4.98,176.31,181.29
2025-04-05,-48.94,99.01,147.95
2025-04-06,-84.76,138.00,222.76
2025-04-07,3.30,179.10,175.80
2025-04-08,21.70,186.07,164.37
2025-04-09,11.66,177.21,165.55
2025-04-10,0.07,165.96,165.89
2025-04-11,-8.47,148.15,156.62
2025-04-12,-42.36,140.23,182.59
2025-04-13,-17.08,125.85,142.93
2025-04-14,65.09,169.46,104.37
2025-04-15,3.01,137.08,134.07
2025-04-16,24.62,149.15,124.53
2025-04-17,70.60,127.39,56.79
2025-04-18,57.60,123.51,65.91
2025-04-19,-8.37,139.47,147.84
2025-04-20,-66.37,135.46,201.83
2025-04-21,-0.10,126.62,126.72
2025-04-22,60.33,214.16,153.83
2025-04-23,80.57,163.31,82.74
2025-04-24,81.23,125.66,44.43
2025-04-25,47.36,125.95,78.59
2025-04-26,-13.66,109.36,123.02
2025-04-27,-109.64,127.56,237.20
2025-04-28,-2.42,189.28,191.70
2025-04-29,-4.30,172.18,176.48
2025-04-30,-5.60,169.81,175.41
2025-05-01,-107.86,149.19,257.05
2025-05-02,-11.37,143.34,154.71
2025-05-03,-3.53,92.23,95.76
2025-05-04,-2.70,113.67,116.37
2025-05-05,49.19,141.00,91.81
2025-05-06,32.14,150.12,117.98
2025-05-07,58.58,145.56,86.98
2025-05-08,60.22,171.11,110.89
2025-05-09,6.47,153.30,146.83
2025-05-10,-88.48,146.70,235.18
2025-05-11,-205.08,115.23,320.31
2025-05-12,-39.69,150.13,189.82
2025-05-13,-16.58,203.14,219.72
2025-05-14,-43.32,154.14,197.46
2025-05-15,-16.18,138.49,154.67
2025-05-16,-1.32,145.03,146.35
2025-05-17,-18.01,126.72,144.73
2025-05-18,-27.20,125.98,153.18
2025-05-19,20.30,206.54,186.24
2025-05-20,2.43,198.03,195.60
2025-05-21,-5.99,119.26,125.25
2025-05-22,-13.66,123.00,136.66
2025-05-23,0.50,140.78,140.28
2025-05-24,-0.86,112.98,113.84
2025-05-25,-8.26,96.18,104.44
2025-05-26,-0.35,166.31,166.66
2025-05-27,2.78,139.51,136.73
2025-05-28,29.48,135.62,106.14
2025-05-29,-1.85,92.24,94.09
2025-05-30,-8.25,137.82,146.07
2025-05-31,-12.44,179.71,192.15
2025-06-01,-22.32,100.88,123.20
2025-06-02,12.30,205.23,192.93
2025-06-03,-2.21,141.20,143.41
2025-06-04,17.31,183.34,166.03
2025-06-05,9.59,133.15,123.56
2025-06-06,-10.19,128.66,138.85
2025-06-07,-1.81,108.27,110.08
2025-06-08,-65.77,62.90,128.67
2025-06-09,-32.10,128.61,160.71
2025-06-10,-0.68,113.45,114.13
2025-06-11,-3.54,200.52,204.06
2025-06-12,-22.63,128.00,150.63
2025-06-13,-7.50,111.65,119.15
2025-06-14,-27.22,125.66,152.88
2025-06-15,-2.80,130.81,133.61
2025-06-16,5.05,176.55,171.50
2025-06-17,-3.55,234.65,238.20
2025-06-18,-3.70,163.89,167.59
2025-06-19,-59.73,145.68,205.41
2025-06-20,-4.60,212.38,216.98
2025-06-21,-24.12,161.80,185.92
2025-06-22,-95.27,134.29,229.56
2025-06-23,-25.98,99.18,125.16
2025-06-24,-24.92,123.70,148.62
2025-06-25,-3.08,247.64,250.72
2025-06-26,47.04,127.48,80.44
2025-06-27,5.69,137.01,131.32
2025-06-28,-5.48,121.37,126.85
2025-06-29,-23.60,127.38,150.98
2025-06-30,13.11,253.61,240.50
